,units,date
139,20.0,2018-01-26
140,1.0,2018-01-19
141,1.0,2018-01-12
142,2.0,2018-01-24
143,2.0,2018-01-08
144,2.0,2018-01-19
145,1.0,2018-01-22
146,1.0,2018-01-07
147,2.0,2018-01-31
148,2.0,2018-01-28
149,1.0,2018-01-05
150,1.0,2018-01-25
151,5.0,2018-01-30
152,5.0,2018-01-24
153,4.0,2018-01-29
154,2.0,2018-01-11
155,4.0,2018-01-23
156,3.0,2018-01-24
157,3.0,2018-01-22
158,2.0,2018-01-14
159,1.0,2018-01-16
160,1.0,2018-01-09
161,1.0,2018-01-17
162,1.0,2018-01-15
163,1.0,2018-01-15
164,1.0,2018-01-17
165,1.0,2018-01-31
166,2.0,2018-01-26
167,1.0,2018-01-28
168,37.0,2018-01-29
169,35.0,2018-01-31
170,7.0,2018-01-31
171,10.0,2018-01-24
172,1.0,2018-01-28
173,136.0,2018-01-31
174,63.0,2018-01-31
175,55.0,2018-01-31
176,13.0,2018-01-10
177,2.0,2018-01-29
178,4.0,2018-01-26
179,1.0,2018-01-08
180,8.0,2018-01-28
181,19.0,2018-01-31
182,19.0,2018-01-31
183,22.0,2018-01-31
184,17.0,2018-01-31
185,23.0,2018-01-31
186,9.0,2018-01-31
187,5.0,2018-01-30
188,1.0,2018-01-15
189,1.0,2018-01-03
190,4.0,2018-01-30
191,1.0,2018-01-12
192,1.0,2018-01-11
193,2.0,2018-01-13
194,9.0,2018-01-31
195,5.0,2018-01-29
196,3.0,2018-01-29
197,1.0,2018-01-17
198,71.0,2018-01-31
199,45.0,2018-01-31
200,2.0,2018-01-31
201,6.0,2018-01-31
202,1.0,2018-01-14
203,1.0,2018-01-09
204,2.0,2018-01-20
205,2.0,2018-01-28
206,2.0,2018-01-15
207,1.0,2018-01-26
208,1.0,2018-01-07
209,1.0,2018-01-16
210,4.0,2018-01-26
211,1.0,2018-01-15
212,4.0,2018-01-27
213,1.0,2018-01-03
214,2.0,2018-01-31
215,2.0,2018-01-31
216,1.0,2018-01-23
217,2.0,2018-01-31
218,3.0,2018-01-30
219,4.0,2018-01-28
220,2.0,2018-01-18
221,1.0,2018-01-24
222,1.0,2018-01-11
223,1.0,2018-01-31
224,10.0,2018-01-31
225,8.0,2018-01-31
226,8.0,2018-01-22
227,3.0,2018-01-18
228,3.0,2018-01-22
229,1.0,2018-01-13
230,20.0,2018-01-30
231,26.0,2018-01-30
232,22.0,2018-01-31
233,20.0,2018-01-31
234,32.0,2018-01-31
235,7.0,2018-01-31
236,7.0,2018-01-31
237,1.0,2018-01-24
238,1.0,2018-01-27
239,1.0,2018-01-16
240,2.0,2018-01-30
241,22.0,2018-01-19
242,9.0,2018-01-31
243,11.0,2018-01-29
244,14.0,2018-01-31
245,1.0,2018-01-31
246,12.0,2018-01-31
247,165.0,2018-01-31
248,91.0,2018-01-31
249,22.0,2018-01-31
250,59.0,2018-01-31
251,2.0,2018-01-23
252,1.0,2018-01-14
253,4.0,2018-01-31
254,13.0,2018-01-31
255,1.0,2018-01-20
256,6.0,2018-01-31
257,1.0,2018-01-23
258,2.0,2018-01-31
259,1.0,2018-01-10
260,1.0,2018-01-20
261,2.0,2018-01-29
262,2.0,2018-01-31
263,1.0,2018-01-07
264,1.0,2018-01-23
265,5.0,2018-01-31
266,5.0,2018-01-31
267,7.0,2018-01-29
268,1.0,2018-01-25
269,16.0,2018-01-31
270,30.0,2018-01-23
271,9.0,2018-01-23
272,5.0,2018-01-28
273,5.0,2018-01-31
274,17.0,2018-01-27
275,5.0,2018-01-31
276,11.0,2018-01-31
277,6.0,2018-01-31
278,8.0,2018-01-31
279,10.0,2018-01-31
280,13.0,2018-01-26
281,22.0,2018-01-31
282,62.0,2018-01-31
283,82.0,2018-01-31
284,60.0,2018-01-31
285,58.0,2018-01-31
286,57.0,2018-01-31
287,31.0,2018-01-31
288,17.0,2018-01-31
289,20.0,2018-01-31
290,16.0,2018-01-31
291,2.0,2018-01-26
292,3.0,2018-01-16
293,4.0,2018-01-26
294,1.0,2018-01-11
295,6.0,2018-01-29
296,4.0,2018-01-20
297,6.0,2018-01-30
298,1.0,2018-01-14
299,1.0,2018-01-31
300,1.0,2018-01-10
301,1.0,2018-01-10
302,1.0,2018-01-29
303,1.0,2018-01-30
304,19.0,2018-01-30
305,11.0,2018-01-31
306,101.0,2018-01-31
307,88.0,2018-01-31
308,12.0,2018-01-31
309,40.0,2018-01-31
310,2.0,2018-01-31
311,24.0,2018-01-31
312,325.0,2018-01-31
313,277.0,2018-01-31
314,81.0,2018-01-31
315,123.0,2018-01-31
316,1.0,2018-01-22
317,10.0,2018-01-31
318,5.0,2018-01-30
319,1.0,2018-01-30
320,11.0,2018-01-24
321,7.0,2018-01-28
322,11.0,2018-01-31
323,13.0,2018-01-31
324,4.0,2018-01-30
325,5.0,2018-01-29
326,1.0,2018-01-25
327,1.0,2018-01-09
328,4.0,2018-01-22
329,25.0,2018-01-31
330,23.0,2018-01-31
331,5.0,2018-01-31
332,10.0,2018-01-28
333,1.0,2018-01-31
334,2.0,2018-01-16
335,1.0,2018-01-13
336,2.0,2018-01-15
337,1.0,2018-01-31
338,1.0,2018-01-31
339,1.0,2018-01-29
340,1.0,2018-01-17
341,1.0,2018-01-31
342,1.0,2018-01-19
343,2.0,2018-01-31
344,1.0,2018-01-30
345,4.0,2018-01-31
346,5.0,2018-01-31
347,3.0,2018-01-31
348,1.0,2018-01-04
349,1.0,2018-01-31
350,4.0,2018-01-08
351,1.0,2018-01-21
352,3.0,2018-01-04
353,1.0,2018-01-28
354,4.0,2018-01-29
355,1.0,2018-01-28
356,2.0,2018-01-19
357,4.0,2018-01-31
358,1.0,2018-01-12
359,1.0,2018-01-10
360,2.0,2018-01-12
361,2.0,2018-01-24
362,1.0,2018-01-24
363,1.0,2018-01-31
364,1.0,2018-01-10
365,1.0,2018-01-15
366,5.0,2018-01-22
367,56.0,2018-01-24
368,18.0,2018-01-28
369,2.0,2018-01-31
370,1.0,2018-01-31
371,1.0,2018-01-22
372,2.0,2018-01-27
373,2.0,2018-01-27
374,1.0,2018-01-24
375,1.0,2018-01-08
376,1.0,2018-01-12
377,1.0,2018-01-10
378,2.0,2018-01-16
379,2.0,2018-01-15
380,2.0,2018-01-18
381,2.0,2018-01-31
382,1.0,2018-01-07
383,1.0,2018-01-22
384,2.0,2018-01-18
385,3.0,2018-01-28
386,1.0,2018-01-25
387,1.0,2018-01-06
388,2.0,2018-01-31
389,1.0,2018-01-16
390,8.0,2018-01-24
391,11.0,2018-01-31
392,1.0,2018-01-24
393,1.0,2018-01-25
394,1.0,2018-01-26
395,1.0,2018-01-31
396,1.0,2018-01-31
397,2.0,2018-01-29
398,2.0,2018-01-29
399,3.0,2018-01-31
400,24.0,2018-01-24
401,1.0,2018-01-22
402,5.0,2018-01-23
403,3.0,2018-01-25
404,5.0,2018-01-24
405,63.0,2018-01-31
406,12.0,2018-01-31
407,8.0,2018-01-24
408,13.0,2018-01-31
409,1.0,2018-01-23
410,1.0,2018-01-24
411,4.0,2018-01-30
412,5.0,2018-01-30
413,8.0,2018-01-29
414,28.0,2018-01-31
415,44.0,2018-01-31
416,10.0,2018-01-31
417,24.0,2018-01-31
418,4.0,2018-01-21
419,1.0,2018-01-29
420,2.0,2018-01-29
421,13.0,2018-01-30
422,2.0,2018-01-31
423,1.0,2018-01-18
424,1.0,2018-01-31
425,3.0,2018-01-15
426,1.0,2018-01-09
427,1.0,2018-01-09
428,2.0,2018-01-27
429,2.0,2018-01-20
430,8.0,2018-01-16
431,14.0,2018-01-20
432,3.0,2018-01-20
433,4.0,2018-01-24
434,1.0,2018-01-14
435,1.0,2018-01-11
436,3.0,2018-01-24
437,3.0,2018-01-24
438,1.0,2018-01-15
439,24.0,2018-01-31
440,10.0,2018-01-31
441,187.0,2018-01-31
442,201.0,2018-01-31
443,74.0,2018-01-31
444,80.0,2018-01-31
445,2.0,2018-01-29
446,1.0,2018-01-04
447,3.0,2018-01-26
448,3.0,2018-01-31
449,2.0,2018-01-31
450,4.0,2018-01-22
451,1.0,2018-01-17
452,3.0,2018-01-24
453,11.0,2018-01-24
454,20.0,2018-01-25
455,5.0,2018-01-29
456,4.0,2018-01-24
457,2.0,2018-01-30
458,2.0,2018-01-24
459,1.0,2018-01-21
460,24.0,2018-01-31
461,16.0,2018-01-31
462,22.0,2018-01-30
463,12.0,2018-01-24
464,5.0,2018-01-30
465,1.0,2018-01-20
466,1.0,2018-01-06
467,3.0,2018-01-28
468,1.0,2018-01-03
469,2.0,2018-01-27
470,2.0,2018-01-24
471,4.0,2018-01-30
472,1.0,2018-01-24
473,1.0,2018-01-09
474,5.0,2018-01-26
475,1.0,2018-01-13
476,1.0,2018-01-24
477,2.0,2018-01-31
478,5.0,2018-01-31
479,1.0,2018-01-30
480,3.0,2018-01-31
481,6.0,2018-01-30
482,4.0,2018-01-31
483,4.0,2018-01-18
484,4.0,2018-01-29
485,11.0,2018-01-29
486,1.0,2018-01-09
487,2.0,2018-01-31
488,12.0,2018-01-23
489,1.0,2018-01-13
490,1.0,2018-01-06
491,2.0,2018-01-30
492,1.0,2018-01-25
493,7.0,2018-01-31
494,11.0,2018-01-31
495,74.0,2018-01-31
496,6.0,2018-01-31
497,3.0,2018-01-24
498,32.0,2018-01-31
499,5.0,2018-01-28
500,2.0,2018-01-31
501,4.0,2018-01-28
502,55.0,2018-01-30
503,66.0,2018-01-31
504,13.0,2018-01-31
505,14.0,2018-01-30
506,2.0,2018-01-15
507,2.0,2018-01-09
508,2.0,2018-01-30
509,3.0,2018-01-30
510,12.0,2018-01-30
511,1.0,2018-01-24
512,2.0,2018-01-13
513,4.0,2018-01-30
514,121.0,2018-01-31
515,110.0,2018-01-31
516,21.0,2018-01-31
517,42.0,2018-01-31
518,1.0,2018-01-29
519,3.0,2018-01-31
520,4.0,2018-01-31
521,3.0,2018-01-28
522,1.0,2018-01-29
523,1.0,2018-01-22
524,1.0,2018-01-22
525,1.0,2018-01-17
526,11.0,2018-01-31
527,6.0,2018-01-31
528,2.0,2018-01-31
529,5.0,2018-01-27
530,1.0,2018-01-29
531,21.0,2018-01-30
532,16.0,2018-01-30
533,9.0,2018-01-31
534,27.0,2018-01-31
535,1.0,2018-01-08
536,1.0,2018-01-03
537,4.0,2018-01-28
538,4.0,2018-01-31
539,1.0,2018-01-17
540,1.0,2018-01-18
541,2.0,2018-01-16
542,2.0,2018-01-27
543,135.0,2018-01-31
544,43.0,2018-01-31
545,5.0,2018-01-31
546,3.0,2018-01-24
547,4.0,2018-01-30
548,2.0,2018-01-22
549,50.0,2018-01-31
550,70.0,2018-01-31
551,23.0,2018-01-31
552,14.0,2018-01-31
553,5.0,2018-01-17
554,1.0,2018-01-16
555,1.0,2018-01-16
556,1.0,2018-01-19
557,1.0,2018-01-23
558,1.0,2018-01-17
559,1.0,2018-01-02
560,1.0,2018-01-06
561,6.0,2018-01-31
562,58.0,2018-01-31
563,46.0,2018-01-31
564,17.0,2018-01-31
565,12.0,2018-01-31
566,2.0,2018-01-17
567,3.0,2018-01-27
568,1.0,2018-01-23
569,1.0,2018-01-09
570,4.0,2018-01-08
571,3.0,2018-01-17
572,3.0,2018-01-17
573,2.0,2018-01-31
574,8.0,2018-01-27
575,5.0,2018-01-31
576,3.0,2018-01-30
577,6.0,2018-01-24
578,5.0,2018-01-31
579,2.0,2018-01-17
580,5.0,2018-01-25
581,72.0,2018-01-31
582,42.0,2018-01-31
583,15.0,2018-01-31
584,38.0,2018-01-31
585,1.0,2018-01-18
586,2.0,2018-01-30
587,1.0,2018-01-29
588,3.0,2018-01-29
589,1.0,2018-01-03
590,1.0,2018-01-28
591,2.0,2018-01-14
592,2.0,2018-01-30
593,1.0,2018-01-30
594,1.0,2018-01-19
595,2.0,2018-01-22
596,16.0,2018-01-31
597,72.0,2018-01-31
598,103.0,2018-01-31
599,36.0,2018-01-31
600,40.0,2018-01-30
601,1.0,2018-01-30
602,2.0,2018-01-30
603,2.0,2018-01-31
604,2.0,2018-01-30
605,1.0,2018-01-02
606,8.0,2018-01-31
607,6.0,2018-01-26
608,12.0,2018-01-18
609,2.0,2018-01-08
610,7.0,2018-01-18
611,1.0,2018-01-14
612,1.0,2018-01-28
613,1.0,2018-01-30
614,1.0,2018-01-31
615,2.0,2018-01-18
616,2.0,2018-01-18
617,5.0,2018-01-19
618,3.0,2018-01-24
619,3.0,2018-01-28
620,2.0,2018-01-28
621,2.0,2018-01-31
622,2.0,2018-01-31
623,4.0,2018-01-31
624,4.0,2018-01-31
625,6.0,2018-01-28
626,7.0,2018-01-31
627,9.0,2018-01-31
628,6.0,2018-01-31
629,1.0,2018-01-08
630,17.0,2018-01-19
631,5.0,2018-01-19
632,4.0,2018-01-31
633,8.0,2018-01-31
634,12.0,2018-01-31
635,1.0,2018-01-25
636,1.0,2018-01-25
637,1.0,2018-01-31
638,1.0,2018-01-18
639,2.0,2018-01-20
640,8.0,2018-01-31
641,1.0,2018-01-30
642,1.0,2018-01-24
643,3.0,2018-01-11
644,7.0,2018-01-17
645,4.0,2018-01-30
646,36.0,2018-01-31
647,23.0,2018-01-31
648,4.0,2018-01-24
649,15.0,2018-01-31
650,1.0,2018-01-02
651,1.0,2018-01-23
652,1.0,2018-01-23
653,1.0,2018-01-22
654,1.0,2018-01-03
655,1.0,2018-01-03
656,2.0,2018-01-28
657,6.0,2018-01-31
658,1.0,2018-01-31
659,3.0,2018-01-29
660,1.0,2018-01-29
661,1.0,2018-01-11
662,2.0,2018-01-26
663,5.0,2018-01-30
664,1.0,2018-01-20
665,1.0,2018-01-13
666,4.0,2018-01-31
667,11.0,2018-01-31
668,2.0,2018-01-11
669,1.0,2018-01-07
670,1.0,2018-01-18
671,1.0,2018-01-15
672,7.0,2018-01-19
673,10.0,2018-01-31
674,12.0,2018-01-31
675,1.0,2018-01-04
676,1.0,2018-01-31
677,1.0,2018-01-23
678,1.0,2018-01-23
679,5.0,2018-01-15
680,17.0,2018-01-29
681,35.0,2018-01-31
682,9.0,2018-01-31
683,7.0,2018-01-23
684,23.0,2018-01-30
685,3.0,2018-01-21
686,14.0,2018-01-30
687,17.0,2018-01-29
688,3.0,2018-01-29
689,1.0,2018-01-10
690,9.0,2018-01-29
691,6.0,2018-01-01
692,2.0,2018-01-31
693,1.0,2018-01-15
694,1.0,2018-01-29
695,11.0,2018-01-26
696,12.0,2018-01-31
697,4.0,2018-01-31
698,4.0,2018-01-23
699,7.0,2018-01-28
700,6.0,2018-01-22
701,4.0,2018-01-30
702,7.0,2018-01-31
703,1.0,2018-01-06
704,2.0,2018-01-30
705,2.0,2018-01-30
706,1.0,2018-01-31
707,4.0,2018-01-30
708,1.0,2018-01-06
709,1.0,2018-01-15
710,2.0,2018-01-29
711,3.0,2018-01-29
712,7.0,2018-01-21
713,1.0,2018-01-11
714,30.0,2018-01-24
715,26.0,2018-01-31
716,5.0,2018-01-21
717,4.0,2018-01-29
718,1.0,2018-01-23
719,1.0,2018-01-31
720,1.0,2018-01-31
721,1.0,2018-01-01
722,1.0,2018-01-28
723,1.0,2018-01-21
724,5.0,2018-01-19
725,1.0,2018-01-05
726,2.0,2018-01-16
727,10.0,2018-01-31
728,1.0,2018-01-14
729,7.0,2018-01-30
730,12.0,2018-01-10
731,1.0,2018-01-20
732,6.0,2018-01-30
733,25.0,2018-01-31
734,35.0,2018-01-31
735,8.0,2018-01-30
736,11.0,2018-01-24
737,4.0,2018-01-04
738,41.0,2018-01-31
739,8.0,2018-01-30
740,2.0,2018-01-15
741,1.0,2018-01-14
742,1.0,2018-01-11
743,1.0,2018-01-09
744,3.0,2018-01-24
745,1.0,2018-01-31
746,1.0,2018-01-16
747,2.0,2018-01-10
748,1.0,2018-01-31
749,1.0,2018-01-11
750,1.0,2018-01-04
751,3.0,2018-01-26
752,1.0,2018-01-30
753,1.0,2018-01-31
754,1.0,2018-01-29
755,1.0,2018-01-29
756,1.0,2018-01-15
757,1.0,2018-01-11
758,3.0,2018-01-31
759,1.0,2018-01-11
760,2.0,2018-01-08
761,5.0,2018-01-31
762,106.0,2018-01-31
763,95.0,2018-01-31
764,26.0,2018-01-31
765,35.0,2018-01-31
766,8.0,2018-01-31
767,5.0,2018-01-26
768,4.0,2018-01-23
769,1.0,2018-01-27
770,2.0,2018-01-21
771,1.0,2018-01-23
772,2.0,2018-01-28
773,2.0,2018-01-24
774,2.0,2018-01-31
775,2.0,2018-01-16
776,1.0,2018-01-08
777,4.0,2018-01-31
778,3.0,2018-01-30
779,2.0,2018-01-05
780,3.0,2018-01-11
781,1.0,2018-01-25
782,1.0,2018-01-17
783,3.0,2018-01-31
784,19.0,2018-01-31
785,28.0,2018-01-31
786,17.0,2018-01-31
787,10.0,2018-01-31
788,1.0,2018-01-11
789,1.0,2018-01-18
790,5.0,2018-01-31
791,4.0,2018-01-29
792,3.0,2018-01-31
793,2.0,2018-01-13
794,1.0,2018-01-02
795,3.0,2018-01-28
796,1.0,2018-01-20
797,3.0,2018-01-28
798,12.0,2018-01-19
799,16.0,2018-01-31
800,5.0,2018-01-29
801,7.0,2018-01-31
802,1.0,2018-01-29
803,1.0,2018-01-28
804,5.0,2018-01-25
805,2.0,2018-01-31
806,2.0,2018-01-28
807,3.0,2018-01-31
808,2.0,2018-01-23
809,18.0,2018-01-31
810,12.0,2018-01-28
811,3.0,2018-01-22
812,20.0,2018-01-31
813,1.0,2018-01-10
814,3.0,2018-01-21
815,1.0,2018-01-31
816,3.0,2018-01-31
817,7.0,2018-01-31
818,2.0,2018-01-15
819,7.0,2018-01-31
820,4.0,2018-01-31
821,2.0,2018-01-21
822,3.0,2018-01-31
823,2.0,2018-01-29
824,1.0,2018-01-23
825,3.0,2018-01-27
826,3.0,2018-01-26
827,1.0,2018-01-13
828,2.0,2018-01-17
829,1.0,2018-01-22
830,1.0,2018-01-15
831,1.0,2018-01-25
832,7.0,2018-01-30
833,56.0,2018-01-31
834,36.0,2018-01-31
835,3.0,2018-01-26
836,26.0,2018-01-31
837,3.0,2018-01-31
838,6.0,2018-01-25
839,1.0,2018-01-22
840,1.0,2018-01-10
841,2.0,2018-01-30
842,5.0,2018-01-15
843,4.0,2018-01-24
844,2.0,2018-01-22
845,6.0,2018-01-30
846,8.0,2018-01-30
847,4.0,2018-01-23
848,1.0,2018-01-26
849,3.0,2018-01-26
850,1.0,2018-01-26
851,2.0,2018-01-13
852,2.0,2018-01-15
853,48.0,2018-01-31
854,24.0,2018-01-31
855,9.0,2018-01-31
856,11.0,2018-01-30
857,2.0,2018-01-29
858,3.0,2018-01-30
859,2.0,2018-01-29
860,6.0,2018-01-30
861,20.0,2018-01-31
862,31.0,2018-01-29
863,44.0,2018-01-31
864,1.0,2018-01-08
865,36.0,2018-01-31
866,28.0,2018-01-30
867,4.0,2018-01-27
868,3.0,2018-01-17
869,1.0,2018-01-20
870,2.0,2018-01-28
871,3.0,2018-01-23
872,31.0,2018-01-24
873,60.0,2018-01-31
874,18.0,2018-01-31
875,24.0,2018-01-31
876,1.0,2018-01-29
877,44.0,2018-01-30
878,30.0,2018-01-24
879,1.0,2018-01-30
880,1.0,2018-01-23
881,2.0,2018-01-31
882,3.0,2018-01-22
883,3.0,2018-01-17
884,1.0,2018-01-14
885,2.0,2018-01-15
886,3.0,2018-01-27
887,5.0,2018-01-29
888,2.0,2018-01-31
889,1.0,2018-01-27
890,1.0,2018-01-24
891,2.0,2018-01-29
892,4.0,2018-01-30
893,19.0,2018-01-30
894,7.0,2018-01-30
895,1.0,2018-01-09
896,10.0,2018-01-30
897,10.0,2018-01-31
898,56.0,2018-01-31
899,37.0,2018-01-31
900,15.0,2018-01-31
901,35.0,2018-01-31
902,1.0,2018-01-25
903,1.0,2018-01-08
904,2.0,2018-01-13
905,2.0,2018-01-15
906,1.0,2018-01-24
907,14.0,2018-01-28
908,62.0,2018-01-31
909,63.0,2018-01-31
910,25.0,2018-01-31
911,36.0,2018-01-30
912,2.0,2018-01-20
913,17.0,2018-01-28
914,4.0,2018-01-31
915,9.0,2018-01-31
916,2.0,2018-01-31
917,1.0,2018-01-31
918,7.0,2018-01-31
919,4.0,2018-01-23
920,4.0,2018-01-15
921,15.0,2018-01-31
922,2.0,2018-01-11
923,1.0,2018-01-05
924,2.0,2018-01-08
925,4.0,2018-01-31
926,2.0,2018-01-31
927,5.0,2018-01-30
928,4.0,2018-01-14
929,6.0,2018-01-24
930,3.0,2018-01-30
931,3.0,2018-01-30
932,1.0,2018-01-31
933,1.0,2018-01-08
934,3.0,2018-01-21
935,3.0,2018-01-31
936,1.0,2018-01-16
937,7.0,2018-01-29
938,4.0,2018-01-24
939,2.0,2018-01-24
940,3.0,2018-01-17
941,1.0,2018-01-19
942,1.0,2018-01-22
943,1.0,2018-01-11
944,1.0,2018-01-07
945,3.0,2018-01-25
946,3.0,2018-01-12
947,8.0,2018-01-31
948,2.0,2018-01-29
949,1.0,2018-01-30
950,2.0,2018-01-08
951,2.0,2018-01-14
952,3.0,2018-01-24
953,2.0,2018-01-31
954,1.0,2018-01-08
955,2.0,2018-01-29
956,1.0,2018-01-13
957,1.0,2018-01-22
958,2.0,2018-01-29
959,1.0,2018-01-19
960,6.0,2018-01-28
961,1.0,2018-01-16
962,2.0,2018-01-12
963,5.0,2018-01-20
964,2.0,2018-01-15
965,1.0,2018-01-22
966,1.0,2018-01-28
967,1.0,2018-01-10
968,2.0,2018-01-24
969,1.0,2018-01-06
970,1.0,2018-01-24
971,1.0,2018-01-08
972,1.0,2018-01-13
973,1.0,2018-01-16
974,5.0,2018-01-30
975,1.0,2018-01-18
976,73.0,2018-01-31
977,37.0,2018-01-31
978,9.0,2018-01-31
979,4.0,2018-01-16
980,15.0,2018-01-31
981,1.0,2018-01-17
982,6.0,2018-01-03
983,4.0,2018-01-14
984,2.0,2018-01-23
985,4.0,2018-01-23
986,4.0,2018-01-23
987,8.0,2018-01-31
988,3.0,2018-01-28
989,3.0,2018-01-31
990,1.0,2018-01-03
991,1.0,2018-01-16
992,3.0,2018-01-10
993,6.0,2018-01-18
994,1.0,2018-01-10
995,4.0,2018-01-20
996,1.0,2018-01-13
997,3.0,2018-01-13
998,13.0,2018-01-31
999,2.0,2018-01-28
1000,4.0,2018-01-20
1001,15.0,2018-01-31
1002,8.0,2018-01-27
1003,1.0,2018-01-08
1004,1.0,2018-01-21
1005,5.0,2018-01-30
1006,35.0,2018-01-29
1007,58.0,2018-01-31
1008,19.0,2018-01-29
1009,11.0,2018-01-31
1010,3.0,2018-01-28
1011,2.0,2018-01-27
1012,1.0,2018-01-15
1013,1.0,2018-01-24
1014,3.0,2018-01-12
1015,3.0,2018-01-24
1016,3.0,2018-01-24
1017,1.0,2018-01-18
1018,2.0,2018-01-31
1019,3.0,2018-01-27
1020,1.0,2018-01-26
1021,3.0,2018-01-19
1022,2.0,2018-01-22
1023,2.0,2018-01-23
1024,3.0,2018-01-30
1025,25.0,2018-01-31
1026,24.0,2018-01-30
1027,7.0,2018-01-30
1028,1.0,2018-01-13
1029,1.0,2018-01-31
1030,1.0,2018-01-28
1031,2.0,2018-01-31
1032,1.0,2018-01-18
1033,1.0,2018-01-27
1034,1.0,2018-01-24
1035,2.0,2018-01-28
1036,5.0,2018-01-17
1037,9.0,2018-01-19
1038,20.0,2018-01-31
1039,41.0,2018-01-31
1040,22.0,2018-01-31
1041,2.0,2018-01-25
1042,19.0,2018-01-30
1043,9.0,2018-01-28
1044,7.0,2018-01-24
1045,11.0,2018-01-29
1046,3.0,2018-01-26
1047,1.0,2018-01-11
1048,14.0,2018-01-30
1049,18.0,2018-01-31
1050,1.0,2018-01-31
1051,2.0,2018-01-31
1052,6.0,2018-01-19
1053,1.0,2018-01-17
1054,1.0,2018-01-07
1055,3.0,2018-01-28
1056,35.0,2018-01-31
1057,1.0,2018-01-14
1058,1.0,2018-01-13
1059,6.0,2018-01-26
1060,2.0,2018-01-24
1061,1.0,2018-01-13
1062,3.0,2018-01-27
1063,2.0,2018-01-12
1064,3.0,2018-01-27
1065,4.0,2018-01-30
1066,4.0,2018-01-31
1067,4.0,2018-01-21
1068,2.0,2018-01-27
1069,3.0,2018-01-23
